start_id,end_id
16725,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
13579,पात्रम्
16815,लता
82,भ्राता
14928,क्रिया
5852,स्थलम्
24421,राजधानी
1493,स्थलम्
7455,ज्ञातृत्वम्
29029,फलम्
32645,व्याधिः
5773,कर्म
8033,राज्यम्
5548,कर्म
22474,क्रिया
12729,मानवकृति
1257,पट्टः
16021,संकर-रागः
2196,उपग्रहः
8169,दशा
31732,कवचः
2711,ओष्ठः
31652,छन्दः
2800,ज्ञानम्
28437,युथः
10293,इच्छा
19376,मनुष्यः
32477,मनुष्यः
27660,आकृतिः
5676,पदार्थः
3025,मनोभावः
10027,वादः
31941,पौराणिकपुरुषः
7555,क्षुपः
27024,मानवकृति
30069,"रागः	सङ्गीते स्वराणां विशेषेण प्रकारेण तथा च क्रमेण कृतया रचनया भूतः गीतस्य आलेखः।:""भारतीयसङ्गीते षड् रागाः सन्ति इति मन्यते।""	noun:"""""
38919,जलजीवः
1440,उत्सवः
14377,हस्ताभूषणम्
13263,समुदायः
8270,मनुष्यः
24282,कर्म
3960,स्थलम्
30090,वृत्तम्
16049,पटहः
14704,उपकरणम्
37502,कल्पितजीवः
1062,प्रकाशः
9057,कर्म
396,साधनम्
25155,मण्डलम्
21209,आम्रम्
342,मानवकृति
917,पौराणिकपुरुषः
28639,काव्यालङ्कारः
21610,आम्रः
31334,विनाशः
10219,अन्नम्
3022,प्रकटनम्
4900,कविः
250,अयः
7315,गायकपक्षी
3480,प्राकृतिकवस्तु
2060,पदार्थः
29179,प्रमुखः
34743,सदस्यः
5560,कर्म
31256,अनुपलब्धिः
21089,मुद्रा
5088,उपकरणम्
35672,मनुष्यः
34736,अभ्यासः
12087,शारीरिकक्रिया
33649,कर्म
39305,पवित्रस्थानम्
5483,जनः
25355,मण्डलम्
12783,क्रिया
25133,मण्डलम्
7423,पौराणिकपुरुषः
1094,भाषणम्
23350,पौराणिकस्त्री
16573,खगः
36214,धर्म-कर्म
29742,आप्तः
25766,पुरम्
33224,सङ्करजातिः
714,मित्रम्
24931,मण्डलम्
38820,दशा
10386,छात्रः
24155,नृपः
22070,कक्षा
26149,वृत्तम्
9911,मिष्टान्नम्
24726,पुरम्
25984,पुरम्
25350,मण्डलम्
16899,संकर-रागः
32726,पौराणिकपुरुषः
25704,मण्डलम्
23735,दुःखम्
9178,सकर्मकक्रिया
33210,व्याधिः
30967,धर्मस्थलम्
8389,मनुष्यः
24917,पुरम्
1002,कर्म
31846,नरकः
29701,ऋषिः
12033,क्रिया
12008,ज्ञानम्
36465,कर्मकरः
3583,पौराणिकवस्तु
3155,घटना
25818,पुरम्
8386,दशा
5993,दिवसः
31948,अपत्यम्
38048,जाति
3357,आज्ञा
5743,पात्रम्
21149,पौराणिकस्त्री
33145,शाला
29310,आप्तः
31035,माला
33300,उन्नतिः
30666,परिव्राजकः
35697,कर्म
14339,पौराणिकपुरुषः
30961,प्राकृतभाषा
13227,क्रिया
38042,खण्डः
25342,मण्डलम्
26802,देवः
36667,उद्घोषक
6113,प्रेक्षकः
16836,सूत्रम्
21693,आम्रम्
31249,नागः
32816,पात्रम्
25807,पुरम्
7374,मानवकृति
17621,अवधिः
18452,राज्यम्
37722,विषयः
7002,पौराणिकपुरुषः
16337,रागिणी
14065,शक्तिः
5380,कर्म
34910,कर्म
32478,यमः
15248,पुरोहितः
4126,मनोदशा
2111,देवः
12040,पदम्
9629,मनुष्यः
4500,पुरम्
11121,क्रीडासाधनम्
1318,कलाकारः
7705,गानम्
8037,अन्नम्
15175,पौराणिकस्थानम्
20227,प्रवेशद्वारम्
5786,उद्भिद्
6874,शास्त्रम्
2876,दीर्घजीवी पादपः
476,पुच्छम्
4830,उपकरणम्
23690,वस्तुः
1542,खगः
21330,असुरः
31859,आप्तः
21630,पौराणिकस्त्री
487,धर्माचार्यः
40063,विक्रेता
32615,अर्थालङ्कारः
29952,कङ्कणम्
8227,मनोदशा
35911,नौकाश्रयः
30261,मनुष्यः
12902,वेतनम्
4186,भण्डम्
5717,भाटकः
641,चन्दनम्
5679,सिद्धान्तः
9797,आरोपः
15814,सङ्ख्या
6110,शिल्पी
11995,धारणा
24177,नदः
757,सर्पः
35864,राजयक्ष्मा
1537,वस्तुभागः
6936,आकृतिः
11554,स्त्री
36542,सम्मेलनम्
5253,वनस्पति-भागः
40655,शब्दः
23960,राजधानी
4729,भूभागः
24262,राजधानी
2918,पात्रम्
38136,सदस्यः
8947,आनद्धवाद्यम्
4103,अप्राचुर्यम्
30249,कर्णभूषणम्
16695,समुदायः
27640,यन्त्ररचनम्
40493,गृहम्
36695,कर्म
3787,भण्डम्
21580,आप्तः
2345,विवशता
5846,सम्पुटः
36206,रूपम्
4190,भण्डम्
38388,शिरस्कम्
2169,श्रद्धा
9304,विक्रयः
1742,दिवसः
5314,मण्डपम्
