id,lemma,pos
25772,रोहतकनगरम्,noun
30196,कोपेश्वरः,noun
451,मन्दिरम्,noun
25236,ललितपुरनगरम्,noun
4490,रोगाणुः,noun
7448,सूक्ष्मजन्तुः,noun
26197,सुरजा,noun
18915,तुलाधारः,noun
12373,वंशः,noun
10521,विशेषाधिकारपत्रम्,noun
3325,लेख्यपत्रम्,noun
25832,लुधियानामण्डलम्,noun
34182,भाङ्गडानृत्यम्,noun
10001,लोकनृत्यम्,noun
31381,शम्भुः,noun
21728,पञ्चोपस्करः,noun
21731,गन्धद्रव्यम्,noun
22956,आलावर्तः,noun
6584,वीजनम्,noun
2843,अनिच्छा,noun
1340,अनिच्छा,noun
2075,अन्तःपुरः,noun
29740,पर्वतः,noun
1547,कृष्णसारः,noun
4417,मृगः,noun
6797,मूषहरः,noun
9663,भिक्षुणी,noun
30173,ताशकन्दः,noun
24749,रीवामण्डलम्,noun
10121,संशोधकः,noun
7421,व्रणरोपी,noun
25983,मधुबनीमण्डलम्,noun
9359,पतिव्रतम्,noun
6296,कर्तव्यम्,noun
10734,अनुसूचितजातिः,noun
3562,जाति,noun
26621,महानदी,noun
32010,व्याघातः,noun
3152,अवसरः,noun
6329,स्पर्धा,noun
5706,प्रतियोगिता,noun
26236,योद्धृत्वम्,noun
14099,नीतिः,noun
839,उपायः,noun
14368,अकबरः,noun
8119,बादशाहः,noun
954,जातकर्म,noun
950,संस्कारः,noun
33652,आसनी,noun
4835,आसनम्,noun
28241,यज्ञशाला,noun
10402,अभिवृत्तिः,noun
3003,अभिरुचिः,noun
9818,मुष्टिपातः,noun
385,अस्तः,noun
35535,वाणी,noun
16903,श्रावणी,noun
630,पूर्णिमा,noun
31245,स्फटीयन्,noun
474,धातुः,noun
11194,स्थूलकार्पासम्,noun
1864,प्रवेशः,noun
6223,दृश्यम्,noun
29279,वेदः,noun
5562,कर्णाभूषणम्,noun
5774,कर्णभूषणम्,noun
1594,दिगम्बरसाधुः,noun
523,जैनसाधुः,noun
9686,भैरवः,noun
4820,शिवगणः,noun
12337,मिलीग्रामपरिमाणम्,noun
13813,पञ्चाशत्,noun
21857,सुचन्द्रः,noun
8666,कृदन्तम्,noun
31197,अलासः,noun
5050,गण्डः,noun
9684,भ्रमरी,noun
4374,कीटकः,noun
28395,यातायातः,noun
5499,सभा,noun
5960,तारा,noun
7587,"महाविद्याः	हिन्दूतन्त्रशास्त्रे  प्रोक्तानि शक्तेः काली तारा त्रिपुरसुन्दरी भुवनेश्वरी भैरवी छिन्नमस्ता धूमावती बगलामुखी मातङ्गी तथा च कमलात्मिका इति दश धुन्वत्-रूपाणि यानि परा विद्यायाः देवीरूपाणि इति मन्यते:""महाभागवत्पुराणे तथा च बृहद्धर्मपुराणे महाविद्यायाः नामानि काली तारा षोड़षी भुवनेश्वरी भैरवी छिन्नमस्ता धूमावती बगलामुखी मातङ्गी कमलात्मिका च इति प्रोक्तानि""",noun
25283,रामपुरम्,noun
906,उदस्थाली,noun
908,पाकपात्रम्,noun
5075,अश्वः,noun
7605,शारी,noun
218,प्रतिपक्षी,noun
8635,कार्यपद्धतिः,noun
1637,पद्धतिः,noun
26805,मित्रः,noun
26802,आदित्यः,noun
37449,मुद्राक्षरम्,noun
25741,कैथलनगरम्,noun
35172,सीसम्,noun
9758,महापौरः,noun
38539,हास्यकथा,noun
33311,आर्घा,noun
7493,मधुमक्षिका,noun
30013,वक्रः,noun
29786,दुर्धरः,noun
35118,पारस्परिकनिधिः,noun
13820,निधिः,noun
18325,अपचयः,noun
4047,कितवः,noun
21501,सहरोली-आम्रम्,noun
3462,आम्रम्,noun
22871,मुद्रणयन्त्रम्,noun
4168,यन्त्रम्,noun
14309,अम्बरः,noun
2598,सुगन्धः,noun
36523,मध्य-कक्षः,noun
3361,गुरुऋणम्,noun
10904,ऋणम्,noun
34913,धूम्रपानम्,noun
16837,कङ्कणगीतम्,noun
6314,धिक्कारः,noun
26645,गुह्यपदम्,noun
5381,विनोदप्रियता,noun
35047,संवाददातृसम्मेलनम्,noun
4997,वादविवादः,noun
33185,वातमृगः,noun
31893,मनोहरः,noun
11821,छप्पय-छन्दः,noun
23730,प्रवर्तनम्,noun
9609,भूमिहारः,noun
1467,नीलसस्य,noun
23966,निकोसियानगरम्,noun
26705,प्रजा,noun
13464,शब्दतन्त्रम्,noun
4536,शब्दकोशः,noun
39935,अध्ययनशीलता,noun
4916,उद्वर्धकः,noun
10567,कासः,noun
1799,तृणम्,noun
3363,ब्राह्मविवाहः,noun
4781,विवाहः,noun
3784,उपनिवेशः,noun
63,अनुकूलता,noun
3488,निस्स्वार्थता,noun
104,मनोभावः,noun
23134,विधेयम्,noun
3259,अस्तित्वम्,noun
4474,कूटसङ्केतः,noun
37839,विलयनता,noun
29295,अमिताभः,noun
28526,महिषः,noun
5307,पशुः,noun
23059,अब्जः,noun
15783,नवाशीतिः,noun
14353,अकर्मण्यता,noun
7296,असमतल भूः,noun
290,भूमिः,noun
4877,द्विरागमनम्,noun
3651,विबुध्,verb
12558,ॐ,noun
36340,पेन्सिल्वेनिया,noun
3108,भूभागः,noun
22005,वक्षोग्रीवः,noun
31776,अवाप्तिः,noun
23227,अविवाहितः,noun
15275,इम्फालनगरम्,noun
9153,देवदारु,noun
32917,चित्रावतीनदी,noun
21235,नमुचिः,noun
22615,वंशपात्री,noun
6262,वंशपात्रम्,noun
21544,अष्टावक्रः,noun
24900,सुयुजः,noun
3149,एकवर्षीय-वनस्पतिः,noun
35909,जलपरिवहनम्,noun
565,साधनम्,noun
35274,वराननः,noun
270,मुखम्,noun
5410,करमर्दः,noun
35693,कुटुम्बः,noun
33229,गारुडम्,noun
6312,आस्ट्रियादेशः,noun
6379,यूरोपीयदेशः,noun
34296,भूमण्डलीकरणम्,noun
5168,भूसारिका,noun
16074,क्षमायाचना,noun
7573,याच्ञा,noun
25074,सम्बलपुरमण्डलम्,noun
253,उपनाम,noun
223,नामधेयम्,noun
36255,इन्टरसर्विसिज-इन्टेलजन्सम्,noun
34682,संस्था,noun
1878,पङ्क्तिः,noun
5773,प्रबन्धः,noun
230,यमः,noun
512,खगोलीयपिण्डः,noun
28252,प्रातराशः,noun
4208,उपाहारः,noun
27734,परिपथः,noun
21807,धुन्धुमारः,noun
31379,अवगाहनम्,noun
3037,स्नानम्,noun
22173,अदृष्टपूर्वरूपम्,noun
3387,आकृतिः,noun
33883,बुद्धिमती,noun
5941,ऊर्मिः,noun
1236,प्राकृतिकवस्तु,noun
6310,सिक्किम-राज्यम्,noun
4176,तुच्छद्रव्यम्,noun
2342,अपचितः,noun
33167,चाण्डाली,noun
27306,स्वच्छत्वम्,noun
35314,आईसीआईसीआई-बैङ्क,noun
34771,वित्तकोषः,noun
17955,पिचुलः,noun
18252,गोण्डकिरी,noun
32148,अश्वपतिः,noun
3192,गोमयम्,noun
4969,गोमयः,noun
28442,सञ्चयः,noun
28441,संरक्षणम्,noun
6778,रोहिणी,noun
1234,नक्षत्रम्,noun
32376,असुरमाया,noun
5160,इन्द्रजालम्,noun
1204,मौक्तिकमाला,noun
1203,रत्नमाला,noun
13353,कालः,noun
21132,कुशध्वजः,noun
3070,अलङ्कारः,noun
3346,लेखनशैली,noun
4516,निग्रहणम्,noun
7995,त्रिशङ्कुः,noun
29111,अमरुः,noun
7789,निर्माता,noun
9759,अधिकोषणम्,noun
4160,उद्योगः,noun
32955,आनकः,noun
2182,मेघः,noun
6946,विज्ञापनम्,noun
40167,बिन्दुः,noun
12340,वृत्त,adjective
32554,नटमल्हारः,noun
2501,अजीर्णम्,noun
30625,अर्गलम्,noun
4273,काष्ठम्,noun
22845,कोकवः,noun
6745,अनुपस्थितिः,noun
31079,पङ्क्तिः,noun
1550,सन्धितन्त्रम्,noun
16984,त्वक्पाकः,noun
107,तर्कम्,noun
108,कल्पना,noun
39032,सुरमा,noun
5584,धनुर्विद्या,noun
29359,अरुरुः,noun
731,शृङ्खलाकवचम्,noun
1979,कवचम्,noun
5403,पनसः,noun
13379,आल्हामहोदयः,noun
1768,वीरः,noun
16095,केदारकनदी,noun
29763,वध्यदिण्डिमः,noun
5891,पटहः,noun
3487,कङ्कालतन्त्रम्,noun
33470,आस्थापनम्,noun
16775,अनुवासनम्,noun
13478,षडयन्त्रम्,noun
7770,योजना,noun
2518,मूर्खः,noun
37055,समः,noun
29545,कपोतामिषम्,noun
